,installation,arparams_0,arparams_1,arparams_2,maparams_0,seasonalmaparams_0
0,6147,1.4430649115657705,-0.5880681708788051,0.09733774424538413,-0.3609504976357809,-0.9891903661622333
1,6149,0.6483397788105757,0.20596148954680366,-0.04100756530639822,0.19447615248639943,-0.997324205439214
2,6150,1.5371171716516037,-0.7357265388698815,0.15306038423524107,-0.5892016798000466,-0.9970833879795818
3,6151,0.4261804938001916,0.3457884931036068,0.040483988468104755,0.49505029209537577,-0.9997927814239885
4,6152,0.5295414350736907,0.376505325145133,-0.0630752414267314,0.45825240263234845,-0.9773550024982444
5,6153,0.276105056141241,0.6486105194272945,-0.11871844194969532,0.6981398057162991,-0.9962158846155799
6,6157,1.6218486259573655,-0.9177054727087193,0.2441334417231903,-0.5075794567217575,-0.9957909010468745
7,6159,1.0757459113153203,-0.24576554383733737,0.07359984617666783,-0.1296779820179157,-0.9943666795732695
8,6160,1.0589146878309617,-0.034740989092732266,-0.1269448848114816,0.03214592728224901,-0.996379253446723
9,6162,0.21403814482625502,0.6617421987733575,-0.016864161320044094,0.7876233335949222,-0.9978485498851196
10,6163,1.2471812979492973,-0.35903750844597376,0.045736408899378946,-0.37048499033858945,-0.9943424715456604
11,2071,0.13712547608859588,0.8944786144274531,-0.1925971648673799,0.9984153530567863,-0.9126210764726772
12,10279,1.0599551256359054,0.0005358727164192917,-0.1055129184978446,0.10408736770792656,-0.9819064503571158
13,2089,-0.005424265443576513,0.7471955761149868,-0.027532524034159477,0.8947844265440542,-0.9975478964857991
14,2090,0.8238778258125703,0.00911790195344431,0.03531345640980714,0.10995198813806359,-0.9959336275532867
15,2093,0.2555084982621112,0.8618047907991846,-0.2872942339847425,0.9745400684157236,-0.9952999470018526
16,2095,0.3425315609322269,0.49537370141653136,-0.023617809663671496,0.687683835380746,-0.9966541762628957
17,2098,0.5482726963898698,0.357787204519579,-0.01493321694244361,0.4723341668826028,-0.9955853189465659
18,10294,0.8824274608515127,0.1420057900179279,-0.10777020027028597,0.08321732431645368,-0.9944790720152465
19,2104,1.3703077772524919,-0.36713475831263903,-0.06255321694609332,-0.49650887979022135,-0.9966800230262657
20,2106,0.5428613425847215,0.37273147835529763,-0.046824438052269275,0.47700091379312554,-0.9968575791539157
21,2107,0.25568937775524136,0.686374664489486,-0.10695079748991677,0.8718657458302607,-0.9954796644380568
22,2108,0.0034322861010104427,0.6660578708025349,0.10033918083730892,0.7732010489045728,-0.9423275240944378
23,6217,0.28435356848398674,0.7441204308520918,-0.17353689245055043,0.8700440947815427,-0.9006661925906807
24,6219,0.16050891991562716,0.7309342144682687,-0.043853852098961366,0.9208272715182186,-0.9976241623011896
25,2123,1.5616719969065012,-0.5621347416463014,-0.030096359613247303,-0.548878341669652,-0.9974790128364728
26,6221,0.6032276832728242,0.42207068118350355,-0.14516545458144264,0.5946645960759838,-0.9996430594057608
27,2127,0.13404208855316774,0.669931942610341,-0.03892048438901222,0.7601012342567556,-0.9967658432124169
28,6226,1.580541678739954,-0.689826327661583,0.07180216019057252,-0.6349855550338873,-0.9215181379181949
29,2132,1.1029719030287684,-0.24425652861285868,0.07098701753661578,-0.13505187851834333,-0.9974884480946553
30,2133,0.5679533990061822,0.36398961160345855,-0.025995203474795597,0.5063284139932568,-0.9995509456933298
31,6232,0.384304268840141,0.5708596877823959,-0.08002265750125918,0.7569152696015695,-0.9997784813078282
32,2140,0.4826646788875424,0.5488825403091174,-0.24301133211806653,0.5898650363417614,-0.99990503085409
33,2142,0.9486932294481063,-0.07024608696621376,0.05076411359758762,0.2005066074148054,-0.9870226780465079
34,6239,1.7255993031515593,-0.7960861779579662,0.054323650860101394,-0.7965606474925719,-0.9315083015079327
35,2145,1.898845099057225,-1.0906462753402497,0.17960379097435183,-0.8483801196550665,-0.996366317251985
36,2153,1.5236152860009873,-0.5740862165799804,-0.006226231846373363,-0.5080639904298336,-0.997482344590725
37,10347,0.32051808503113427,0.5652920920883989,-0.024810275693539417,0.6103944721619458,-0.9985777642313474
38,2158,1.1634426233837476,-0.2978446309169649,0.06750088791198319,-0.24059151200404288,-0.9398222084550603
39,2161,0.5015369684882355,0.3769489324773247,-0.06668476827120311,0.5234423458983053,-0.9984698751363408
40,2163,0.6226335982628899,0.3026140993901074,-0.05955326629948821,0.4230256376223371,-0.9925066466901037
41,10355,0.19196117826612163,0.6350682208292423,0.005641419812679102,0.6843948916694164,-0.9961530342564741
42,10357,0.9060527017016644,0.05025974953635073,-0.06547869394838556,0.013313482955486164,-0.9975802640513681
43,10361,0.23079685673973974,0.6532876243327723,0.0023662584228239004,0.7358468255853274,-0.9939647896980142
44,2170,1.8326846064645474,-0.934927458512971,0.09068540448043527,-0.8671668575229583,-0.9967233556580248
45,10363,0.5354176582468569,0.36222770106565483,-0.035582149058680276,0.4462875390041403,-0.9951374127898281
46,6271,0.8020912260367685,0.04307404340102899,0.049325045541477784,0.27382251741181446,-0.9966394691900289
47,10367,0.6338219236246021,0.15057536378879371,0.02957503349956057,0.20755843835258347,-0.998714756286789
48,10370,1.1648622833639783,-0.30879870541596577,0.05458550848483096,-0.49030225359548374,-0.9974942627556361
49,10371,0.7839334101363751,-0.06288364476276737,0.14797890828967905,-0.05499075872009913,-0.9938821092573983
